level_0,index,Date,Workout Type,Calories Burned,Distance Travelled (m),Steps Taken,Workout Length (minutes),Breakfast,Lunch,Dinner,Calories Consumed,Net Calories
,,2024-11-01 15:00:00,running,500,2000,1000,15,2 eggs,french vanilla biscoff cheesecake,rigatoni pasta with beef on the side,1800,1300
,,2024-11-02 16:00:00,running,600,2700,1500,20,3 eggs,french vanilla biscoff cheesecake with blueberries,chicken tikka masala with naan bread,2200,1600
,,2024-11-03 08:00:00,walking,250,1500,1000,25,choclate milk 200ml,chicken pasta,egg roll salad with yoghurt,1200,950
,,2024-11-04 07:15:00,walking,500,3100,2000,50,"egg rolls, cereal, strawberries and orange juice",vegan salad,light greek salad,1300,800
,,2024-11-05 08:00:00,running,450,1600,1000,5,yogurth and cereal ,chicken sandwich,vegan pasta,1100,650
,,2024-11-06 08:30:00,walking,150,1100,500,15,yogurth and cereal ,chicken sandwich with extra butter,rib eyed steak with mashed potatoes and coleslaw,3000,2850
,,2024-11-07 21:15:00,running,850,5000,3500,40,yogurth and cereal and 5 eggs,chicken sandwich with extra butter,steak with coleslaw and hamburgers,3000,2150
,,2024-11-09 13:15:00,running,700,1700,1000,30,bagles and cream cheese,salad,steak with coleslaw,1500,800
,,2024-11-08 08:00:00,walking,500,1000,5000,25,Bagel with 2 slices of cheese,Chicken with spaghetti,Chana masala over rice,2000,1200
,,2024-11-10 19:00:00,walking,200,4500,3000,27,omlette with pepper,vegan sandwich with fish,calamari and caviar eggs with rose wine,2200,1000
,,2024-11-11 08:00:00,running,1000,2000,2500,30,"5 eggs, and orange juice",chicken sandwich,"salad, vegan",2500,1500
